CustomerID,frequency,recency,T,monetary_value,predicted_purchases_6m,expected_avg_profit,clv_6m,CLV_Tier
12347.0,6.0,365.0,367.0,599.7016666666667,2.850141746772011,691.7653370158606,1904.421837947942,High
12348.0,3.0,283.0,358.0,301.48,1.5876717376083054,411.0022832183905,630.2935244544121,Low
12352.0,6.0,260.0,296.0,368.25666666666666,3.43598860777876,424.85880269857876,1410.0490911753736,High
12356.0,2.0,303.0,325.0,269.90500000000003,1.2468548201356342,449.5548513843661,541.4227172442301,Low
12358.0,1.0,149.0,150.0,683.2,1.4384134716454386,3372.8770758432133,4686.214380135882,Top
12359.0,3.0,274.0,331.0,1941.6933333333334,1.7003570445856881,2644.780805380735,4343.778848347823,Top
12360.0,2.0,148.0,200.0,789.24,1.8717454533536801,1313.074893914281,2373.96428746948,Top
12362.0,9.0,292.0,295.0,527.4588888888889,5.013842669439305,578.8316635161714,2803.2438558930103,Top
12363.0,1.0,133.0,242.0,252.9,0.9843043237435113,1251.4225253099344,1189.7925839314944,Mid
12364.0,3.0,105.0,112.0,229.7266666666667,4.007324156650377,313.28264417130185,1212.6311130205472,Mid
12370.0,3.0,309.0,360.0,651.6233333333333,1.5799159237931353,887.8565080824308,1354.9231266782544,High
12371.0,1.0,15.0,59.0,360.0,2.645774987622789,1779.4443295444548,4547.526189052611,Top
12372.0,2.0,225.0,296.0,449.41,1.3515371031504375,748.0253285028587,976.5223174225428,Mid
12375.0,1.0,88.0,98.0,227.20000000000002,1.9458089148710818,1124.7170129959552,2113.88496677928,High
12377.0,1.0,39.0,354.0,626.6,0.7110319072661369,3093.8291382178736,2124.82570813373,High
12379.0,1.0,89.0,170.0,392.4,1.3072997334794525,1939.182018220444,2448.677805448295,Top
12380.0,3.0,164.0,185.0,705.7533333333332,2.7593871549766957,961.5752304872282,2562.9126392486874,Top
12381.0,4.0,115.0,119.0,144.14249999999998,4.909554268595996,180.30889678012335,855.0610385627638,Mid
12383.0,4.0,168.0,352.0,312.46,2.059817061931154,390.51970020984686,776.9793834678992,Mid
12384.0,1.0,93.0,121.0,292.58000000000004,1.68319290148309,1447.0518921822572,2352.6422566104843,Top
12386.0,1.0,29.0,366.0,143.0,0.690492468081241,709.5962294614397,473.2690908273055,Low
12388.0,5.0,311.0,326.0,469.872,2.6819432084476613,559.2155248075325,1448.6607508037293,High
12393.0,3.0,260.0,332.0,373.3666666666666,1.695899016477782,508.9035066546774,833.6299872215627,Mid
12394.0,1.0,154.0,217.0,891.4,1.076670160164874,4399.339630853737,4575.1787312941115,Top
